rider_id,climb_pts
112,1752
1,1558
2,939
76,892
114,880
171,803
25,780
80,757
18,750
166,750
74,748
108,632
33,592
139,590
52,573
92,547
109,544
123,532
27,522
136,504
164,499
42,484
167,456
49,451
5,451
36,437
111,400
81,385
145,380
90,368
54,364
93,353
4,325
122,322
134,317
17,294
168,293
21,260
53,244
119,242
169,233
44,229
35,228
85,226
79,220
14,216
41,212
144,208
40,202
11,186
8,182
28,178
156,178
69,172
56,166
110,161
165,161
38,158
128,156
143,155
58,153
30,152
137,146
160,142
120,132
173,130
37,126
86,124
43,124
155,123
117,122
51,120
99,118
95,118
146,112
31,112
125,110
48,103
148,98
71,93
10,88
63,84
154,82
75,80
105,76
57,74
158,74
151,74
89,70
84,68
3,65
59,65
150,65
140,64
135,56
118,54
126,52
62,52
98,50
24,46
73,45
46,45
26,40
50,39
153,37
65,35
6,33
66,32
64,32
67,30
147,30
45,28
172,27
163,27
149,27
61,26
100,24
55,23
68,22
138,20
121,18
87,17
113,15
72,14
116,13
9,12
161,12
19,12
127,12
106,9
78,8
91,8
12,8
130,8
159,8
77,6
107,5
70,5
15,5
7,4
