rider_id,sprint_pts
83,994
9,870
26,773
57,704
97,626
165,581
124,563
65,533
116,453
131,429
157,414
141,330
50,282
20,266
126,258
91,251
171,218
140,203
147,202
130,199
103,197
158,187
127,182
61,158
138,150
153,149
32,140
172,123
84,114
121,96
2,90
112,87
118,86
173,86
113,84
93,83
42,82
10,79
15,75
72,74
1,73
74,73
67,71
125,68
117,64
17,63
89,62
104,59
134,55
146,51
51,50
62,49
6,48
4,48
47,43
136,34
128,34
102,34
73,34
66,31
149,30
95,30
137,28
18,28
135,26
68,26
59,25
154,24
150,24
111,22
24,21
60,20
108,19
85,19
69,18
133,18
122,18
143,18
58,18
114,18
52,17
80,17
31,17
145,17
164,15
88,15
53,15
81,13
148,13
76,13
90,12
5,12
144,12
37,12
12,11
