rider_id,gc_pts
112,2978
1,2265
76,1820
2,1582
5,1315
108,1311
4,1295
92,1260
74,1185
114,1148
49,1103
139,1075
166,1074
164,1055
17,1043
80,1036
109,1032
18,1016
35,998
54,987
85,973
52,968
27,955
171,943
41,819
3,777
111,776
167,757
123,705
58,657
50,652
122,624
42,620
145,617
8,591
33,573
25,573
93,559
90,554
57,535
168,530
36,525
21,517
81,494
144,490
31,482
169,481
143,457
30,454
51,450
19,444
146,444
48,440
136,431
116,431
61,422
156,406
134,393
127,390
113,383
9,375
160,374
151,367
137,364
43,351
161,348
119,346
71,337
120,337
125,327
10,321
99,319
172,304
84,293
138,291
110,286
117,284
67,283
98,277
38,275
95,271
69,259
6,255
59,253
150,247
155,243
56,238
107,235
121,233
163,230
165,215
62,209
77,202
55,199
46,193
173,188
128,183
97,179
44,173
148,169
105,168
63,163
7,161
68,157
26,157
28,153
142,148
152,148
159,147
135,138
154,137
118,133
34,131
79,123
78,123
53,117
153,116
132,114
14,113
23,109
45,108
126,106
60,102
75,101
87,100
16,100
149,100
140,98
66,95
86,93
37,90
29,89
15,88
24,88
96,85
106,84
11,84
65,78
47,78
22,78
147,76
12,74
102,74
158,72
133,68
39,68
94,66
64,66
40,61
70,60
32,58
83,58
88,57
91,51
100,51
101,46
104,45
73,44
124,43
131,41
20,41
13,37
130,33
129,32
